URLs Downloaded, SizeKB, # of outlinks found, Content-type
https://www.nytimes.com/2018/10/04/style/how-i-trained-my-husband-to-be-a-dad.html,920,125,text/html
https://www.nytimes.com/2018/10/05/climate/rain-floods-extreme-weather.html,939,141,text/html
https://www.nytimes.com/2018/10/07/obituaries/john-gagliardi-dies-at-91.html,536,118,text/html
https://www.nytimes.com/section/arts/music,140,156,text/html
https://www.nytimes.com/2018/10/01/obituaries/charles-aznavour-dead.html,720,139,text/html
https://www.nytimes.com/video/world/africa/100000006140198/melania-trump-africa-ghana-slave-visit.html?playlistId=1194811622205,430,82,text/html
https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html?module=inline,879,132,text/html
https://www.nytimes.com/2018/07/23/us/politics/trump-security-clearances.html,670,133,text/html
https://www.nytimes.com/2018/10/04/sports/drew-brees-passing-yards.html,814,143,text/html
https://www.nytimes.com/video/opinion/100000006050401/how-to-get-1-4-million-new-voters.html,168,77,text/html
https://www.nytimes.com/2018/10/07/business/nobel-in-economics-to-be-awarded-and-big-banks-begin-reporting-earnings.html,451,130,text/html
https://www.nytimes.com/2018/10/08/business/toys-r-us-workers-public-pensions-private-equity.html,529,125,text/html
https://www.nytimes.com/video/donald-trump,584,80,text/html
https://www.nytimes.com/video/opinion/100000005675688/my-dead-dads-porno-tapes.html,233,79,text/html
https://www.nytimes.com/2018/10/04/theater/hillary-clinton-broadway-hnath.html,777,141,text/html
https://www.nytimes.com/2018/10/08/business/media/hope-hicks-fox-job.html,566,124,text/html
https://www.nytimes.com/2018/10/07/arts/music/bts-concert-citi-field-review.html,552,126,text/html
https://www.nytimes.com/2018/10/07/opinion/truth-mass-lynching.html,451,128,text/html
https://www.nytimes.com/2018/10/07/theater/oklahoma-review.html,737,130,text/html
https://www.nytimes.com/2018/09/07/us/politics/george-papadopoulos-sentencing-special-counsel-investigation.html,731,141,text/html
https://www.nytimes.com/2018/10/02/obituaries/jane-fortune-dead.html,785,134,text/html
https://www.nytimes.com/section/politics,128,139,text/html
https://www.nytimes.com/video/world/middleeast/100000006143189/pompeo-iran-treaty-of-amity-withdraw.html?playlistId=1194811622205,430,82,text/html
https://www.nytimes.com/2018/10/07/us/expungement-criminal-justice.html,479,123,text/html
https://www.nytimes.com/2018/10/03/climate/rolling-back-regulations-and-arctic-sea-ice-keeps-melting.html,462,128,text/html
https://www.nytimes.com/subscription/multiproduct/lp8HYKU.html?campaignId=37WXW,112,37,text/html
https://www.nytimes.com/2011/06/21/health/21posters.html?module=inline,86,102,text/html
https://www.nytimes.com/video/opinion/100000006048561/calving-season.html?playlistId=100000004867895,240,78,text/html
https://www.nytimes.com/2018/10/08/world/asia/pompeo-china-tariffs-taiwan.html,838,120,text/html
https://www.nytimes.com/interactive/2018/10/02/world/asia/indonesia-tsunami-early-warning-system.html,92,33,text/html
https://www.nytimes.com/subscriptions/Multiproduct/lp8R3WU.html?campaignId=6WKYY,17,30,text/html
https://www.nytimes.com/2018/10/07/nyregion/limo-crash-victims-schoharie-ny.html,562,131,text/html
https://www.nytimes.com/interactive/2018/obituaries/notable-deaths.html,1222,456,text/html
https://www.nytimes.com/2018/10/07/world/europe/cardinal-letter-vatican-pope-vigano.html,578,127,text/html
https://www.nytimes.com/section/opinion/columnists,105,121,text/html
https://www.nytimes.com/2018/10/07/world/middleeast/west-bank-palestinian-israel.html,532,122,text/html
https://www.nytimes.com/2018/02/04/opinion/flying-pets-scam-peacock.html?module=inline,627,137,text/html
https://www.nytimes.com/column/the-stone,107,123,text/html
https://www.nytimes.com/2018/09/28/theater/kinky-boots-closing.html,735,127,text/html
https://www.nytimes.com/2018/10/03/theater/tina-turner-musical-to-open-on-broadway-next-fall.html,723,123,text/html
https://www.nytimes.com/section/opinion/politics,123,134,text/html
https://www.nytimes.com/2018/01/19/business/delta-airlines-service-animals.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,575,128,text/html
https://www.nytimes.com/2018/10/07/arts/music/los-angeles-philharmonic-review-andrew-norman.html,553,126,text/html
https://www.nytimes.com/section/fashion/weddings,174,185,text/html
https://www.nytimes.com/2018/10/04/opinion/trump-family-real-estate.html,667,119,text/html
https://www.nytimes.com/2018/10/04/obituaries/rosa-bouglione-dead.html,711,121,text/html
https://www.nytimes.com/2018/08/01/us/politics/fara-foreign-agents-mueller.html,831,138,text/html
https://www.nytimes.com/2018/10/08/us/politics/trump-kanye-west-meeting.html,632,135,text/html
https://www.nytimes.com/section/health,137,151,text/html
https://www.nytimes.com/2018/09/26/climate/climate-week-and-photo-stories.html,480,131,text/html
https://www.nytimes.com/subscriptions/Multiproduct/lp3L3W6.html,20,50,text/html
https://www.nytimes.com/2018/10/06/world/africa/melania-trump-africa-trip-egypt.html,653,119,text/html
https://www.nytimes.com/video/us/politics/100000006133659/kavanaugh-republicans-women-midterms.html,325,79,text/html
https://www.nytimes.com/subscription/hd/1041.html?campaignId=6UXKJ,37,14,text/html
https://www.nytimes.com/video/opinion/100000006086663/dulce.html?playlistId=100000001150263,183,80,text/html
https://www.nytimes.com/section/opinion/sunday,106,121,text/html
https://www.nytimes.com/svc/oembed/json/?url=https%3A%2F%2Fwww.nytimes.com%2F2018%2F10%2F05%2Fobituaries%2Fwilliam-helfand-a-collector-intrigued-by-quackery-dies-at-92.html,1,4,application/json
https://www.nytimes.com/2018/09/30/opinion/the-economic-future-isnt-what-it-used-to-be-wonkish.html,762,132,text/html
https://www.nytimes.com/subscriptions/Multiproduct/lp8FW9H.html,30,40,text/html
https://www.nytimes.com/interactive/2018/10/07/climate/ipcc-report-half-degree.html,80,33,text/html
https://www.nytimes.com/times-journeys/?utm_campaign=NYT-HP&utm_content=hp_browsetree&utm_medium=HPLink&utm_source=nytimes,268,67,text/html
https://www.nytimes.com/2018/07/24/us/politics/rick-gates-elliott-broidy-trump-payments.html,687,140,text/html
https://www.nytimes.com/2018/10/05/obituaries/vladimir-radunsky-dead.html,690,128,text/html
https://www.nytimes.com/by/maggie-haberman,115,125,text/html
https://www.nytimes.com/2018/10/07/nyregion/wedding-limo-crash-schoharie-ny.html,748,126,text/html
https://www.nytimes.com/2018/10/07/health/tobacco-e-cigarettes-treaty.html,813,124,text/html
https://www.nytimes.com/2018/10/06/opinion/sunday/i-voted-stickers-for-2018.html,519,126,text/html
https://www.nytimes.com/reviews/theater/critics-pick,98,151,text/html
https://www.nytimes.com/video/us/politics/100000006142466/donald-fred-trump-taxes-empire-millions.html?playlistId=100000006144521,375,63,text/html
https://www.nytimes.com/video/us/politics/100000006133659/kavanaugh-republicans-women-midterms.html?playlistId=100000006090324,325,79,text/html
https://www.nytimes.com/2018/10/06/opinion/lisa-murkowski-susan-collins-kavanaugh.html,558,125,text/html
https://www.nytimes.com/2018/10/07/sports/mlb-playoffs-yankees-red-sox.html,663,133,text/html
https://www.nytimes.com/section/learning,153,155,text/html
https://www.nytimes.com/2018/10/07/us/politics/democrats-israel-palestinians.html,554,136,text/html
https://www.nytimes.com/2018/05/19/us/politics/trump-jr-saudi-uae-nader-prince-zamel.html?action=click&module=RelatedCoverage&pgtype=Article&region=Footer,879,132,text/html
https://www.nytimes.com/2018/10/04/obituaries/dave-anderson-award-winning-times-sportswriter-dies-at-89.html,766,123,text/html
https://www.nytimes.com/2018/06/27/insider/mark-mazzetti-russia-investigation-lessons.html,458,121,text/html
https://www.nytimes.com/section/realestate,189,182,text/html
https://www.nytimes.com/2018/09/26/technology/personaltech/the-sun-sets-the-wind-dies-but-energy-data-is-relentless.html,1074,131,text/html
https://www.nytimes.com/2018/10/01/opinion/kavanaugh-white-male-privilege.html,887,139,text/html
https://www.nytimes.com/2018/10/08/obituaries/scott-wilson-dead.html,668,116,text/html
https://www.nytimes.com/section/arts,137,148,text/html
https://www.nytimes.com/section/opinion?action=click&module=Opinion&pagetype=Homepage,163,198,text/html
https://www.nytimes.com/2018/09/28/us/politics/kavanaugh-testimony-supreme-court.html?module=inline,719,130,text/html
https://www.nytimes.com/video/opinion/100000006050799/footprint-where-the-towers-stood.html?playlistId=100000004867895,240,79,text/html
https://www.nytimes.com/by/neil-genzlinger,114,124,text/html
https://www.nytimes.com/2018/10/08/us/politics/trump-kavanaugh-accusations-hoax.html,785,131,text/html
https://www.nytimes.com/interactive/2018/09/13/climate/hurricane-florence-environmental-hazards.html,144,26,text/html
https://www.nytimes.com/2018/07/24/us/politics/trump-security-clearances.html,774,125,text/html
https://www.nytimes.com/2017/06/19/arts/television/better-call-saul-finale-michael-mckean-chuck.html?module=inline,714,129,text/html
https://www.nytimes.com/by/ronen-bergman,112,125,text/html
https://www.nytimes.com/2018/10/07/arts/television/snl-kavanaugh-confirmation-celebration-awkwafina-hosts.html,833,138,text/html
https://www.nytimes.com/2018/10/06/us/race-related-laquan-mcdonald-lupe-valdez-ole-miss.html,715,156,text/html
https://www.nytimes.com/interactive/2015/obituaries/notable-deaths-2015.html,42,32,text/html
https://www.nytimes.com/2018/10/07/theater/evolution-of-mann-review.html,538,126,text/html
https://www.nytimes.com/2018/10/05/opinion/jamal-khashoggi-saudi-arabia-turkey.html,497,124,text/html
https://www.nytimes.com/video/t-magazine/design/100000005955125/house-tour-cary-leibowitz.html,236,77,text/html
https://www.nytimes.com/2018/10/01/theater/girl-from-the-north-country-review-bob-dylan.html,751,132,text/html
https://www.nytimes.com/video/us/politics/100000006142150/trump-rally-blasey-ford-testimony.html?playlistId=100000003890188,585,82,text/html
https://www.nytimes.com/interactive/2018/upshot/elections-poll-ca48-1.html,808,158,text/html
https://www.nytimes.com/2018/10/07/opinion/letters/fighting-tb.html,475,115,text/html
https://www.nytimes.com/2018/10/07/world/asia/afghanistan-casualties-anniversary.html,567,128,text/html
https://www.nytimes.com/2018/10/08/opinion/climate-change-report.html,585,127,text/html
https://www.nytimes.com/2018/10/07/us/politics/wall-street-election-donations.html,857,134,text/html
https://www.nytimes.com/subscription/multiproduct/lp8HYKU.html?campaignId=6UXKY,112,37,text/html
